season,week,team_id,team_name,owner,user_id,team_score,opp_team_id,opp_team_name,opp_owner,opp_user_id,opp_score,result,margin,record_through_week,rank_through_week,streak_through_week
2019,4,8,Prestige Worldwide,Chris,21680417,107.98,3,Mdog346,Mason,21679447,130.02,L,-22.04,2-2-0,10,L2
2019,4,2,THICCCCFILA,Connor,21679454,127.3,9,Huntingforkickers,Ricci,21680682,81.8,W,45.5,2-2-0,6,W1
2019,4,9,Huntingforkickers,Ricci,21680682,81.8,2,THICCCCFILA,Connor,21679454,127.3,L,-45.5,0-4-0,14,L4
2019,4,15,PurpleCobras,Charlie,22539599,122.9,10,Tight end 1,Cat,21239480,147.78,L,-24.88,2-2-0,8,L1
2019,4,10,Tight end 1,Cat,21239480,147.78,15,PurpleCobras,Charlie,22539599,122.9,W,24.88,3-1-0,3,W2
2019,4,14,dumb thots,sean,21688760,84.8,11,Wheyman,Sean,21687512,92.08,L,-7.28,3-1-0,4,L1
2019,4,11,Wheyman,Sean,21687512,92.08,14,dumb thots,sean,21688760,84.8,W,7.28,2-2-0,12,W1
2019,4,13,MiamiDolphins,David,5159801,160.1,12,i wish i actually drafted,Ari,21687734,166.8,L,-6.7,0-4-0,13,L4
2019,4,12,i wish i actually drafted,Ari,21687734,166.8,13,MiamiDolphins,David,5159801,160.1,W,6.7,3-1-0,2,W3
2019,5,1,On Jah,Joey,21679440,106.14,7,instant kamara,CJ,21680276,76.44,W,29.7,3-2-0,5,W1
2019,5,7,instant kamara,CJ,21680276,76.44,1,On Jah,Joey,21679440,106.14,L,-29.7,2-3-0,10,L2
2019,5,8,Prestige Worldwide,Chris,21680417,66.88,6,Man tit,Krish,21680267,192.44,L,-125.56,2-3-0,11,L3
2019,5,6,Man tit,Krish,21680267,192.44,8,Prestige Worldwide,Chris,21680417,66.88,W,125.56,3-2-0,4,W2
2019,5,9,Huntingforkickers,Ricci,21680682,151.22,5,Fuk Joey,Kyle,21680087,65.88,W,85.34,1-4-0,13,W1
2019,5,5,Fuk Joey,Kyle,21680087,65.88,9,Huntingforkickers,Ricci,21680682,151.22,L,-85.34,2-3-0,12,L1
2019,5,10,Tight end 1,Cat,21239480,142.6,3,Mdog346,Mason,21679447,183.92,L,-41.32,3-2-0,6,L1
2019,5,3,Mdog346,Mason,21679447,183.92,10,Tight end 1,Cat,21239480,142.6,W,41.32,4-1-0,1,W3
2019,5,11,Wheyman,Sean,21687512,136.8,2,THICCCCFILA,Connor,21679454,106.96,W,29.84,3-2-0,7,W2
2019,5,2,THICCCCFILA,Connor,21679454,106.96,11,Wheyman,Sean,21687512,136.8,L,-29.84,2-3-0,8,L1
2019,5,12,i wish i actually drafted,Ari,21687734,113.64,15,PurpleCobras,Charlie,22539599,92.94,W,20.7,4-1-0,2,W4
2019,5,15,PurpleCobras,Charlie,22539599,92.94,12,i wish i actually drafted,Ari,21687734,113.64,L,-20.7,2-3-0,9,L2
